                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4192,                 1.6674,                 1.1029,                0.70046,                 0.5895,                0.64106,                0.40358,                 1.1729,                 1.0039,                  1.019,             0.00036931,             0.00036931,             0.00036931
                      2,                 1.2838,                 1.0293,                 1.0457,                0.70386,                0.63187,                0.68966,                0.44754,                 1.1432,                0.94208,                 1.0058,             0.00073232,             0.00073232,             0.00073232
                      3,                 1.2523,                 0.9224,                 1.0339,                0.74246,                0.69397,                0.74738,                0.48121,                 1.1329,                0.84314,                 1.0095,               0.001088,               0.001088,               0.001088
                      4,                 1.2236,                0.87066,                 1.0279,                0.79543,                 0.7197,                0.78692,                0.52056,                 1.1184,                0.76102,                 1.0021,               0.001078,               0.001078,               0.001078
                      5,                 1.2038,                0.82368,                 1.0165,                0.76804,                0.75335,                0.79616,                0.52463,                 1.0996,                0.73082,                0.99013,               0.001078,               0.001078,               0.001078
                      6,                 1.1812,                0.79066,                   1.01,                0.81315,                0.72923,                0.79993,                 0.5415,                  1.084,                0.69584,                0.98566,               0.001067,               0.001067,               0.001067
                      7,                 1.1601,                0.76184,                  1.002,                0.81802,                0.76745,                  0.836,                0.56686,                 1.0546,                0.66646,                0.97636,               0.001056,               0.001056,               0.001056
                      8,                 1.1387,                 0.7365,                0.99439,                0.82999,                0.77838,                0.84219,                0.56999,                 1.0574,                0.68322,                 0.9812,               0.001045,               0.001045,               0.001045
                      9,                 1.1396,                0.73107,                0.99116,                0.83967,                0.75234,                0.83998,                0.56919,                 1.0674,                0.67564,                 0.9815,               0.001034,               0.001034,               0.001034
                     10,                 1.1231,                0.70705,                0.98593,                0.82506,                0.78523,                0.85494,                0.58828,                 1.0415,                0.63228,                0.97159,               0.001023,               0.001023,               0.001023
                     11,                 1.1131,                0.70318,                0.98189,                0.82417,                0.78581,                0.84239,                0.57372,                 1.0281,                0.64471,                0.96579,               0.001012,               0.001012,               0.001012
                     12,                 1.1035,                0.69217,                0.98087,                0.80238,                0.79449,                0.85577,                0.59184,                 1.0341,                0.65231,                0.96813,               0.001001,               0.001001,               0.001001
                     13,                 1.0954,                0.68115,                0.97598,                 0.8309,                0.77134,                0.85296,                0.58849,                 1.0399,                 0.6302,                0.97477,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0812,                0.66765,                0.97101,                0.86144,                0.80025,                0.86604,                0.60327,                 1.0093,                0.60467,                  0.959,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.0838,                0.66067,                0.97086,                0.82903,                0.78911,                0.86763,                0.61103,                 1.0127,                  0.603,                 0.9599,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0671,                0.65448,                0.96668,                0.84246,                0.80715,                0.87104,                0.61324,                 1.0047,                0.59674,                0.95785,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0584,                0.64189,                0.96394,                0.84817,                 0.7976,                0.86857,                0.61934,                0.98818,                0.58739,                  0.946,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0548,                0.64253,                0.96373,                0.88607,                0.82485,                0.88365,                0.62598,                 0.9985,                0.59718,                 0.9542,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0418,                0.63488,                0.95896,                0.84657,                0.82418,                0.87912,                0.61486,                0.98539,                0.59698,                0.95064,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0412,                0.62486,                0.95777,                0.85699,                 0.8202,                0.88525,                0.63108,                0.98208,                0.57928,                0.94482,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.0368,                0.62739,                0.95495,                0.87671,                0.81915,                 0.8847,                 0.6349,                0.96161,                0.57833,                0.94074,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.0297,                 0.6187,                 0.9557,                0.86878,                0.82621,                0.89144,                0.63546,                 0.9688,                0.56982,                0.94081,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0207,                0.61142,                0.95039,                0.86386,                0.85443,                0.89883,                 0.6426,                0.96006,                0.56284,                0.94031,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0174,                0.60916,                0.94979,                0.88218,                0.83186,                0.90022,                0.64828,                0.95597,                0.56023,                0.94096,             0.00086902,             0.00086902,             0.00086902
                     25,                  1.011,                0.60325,                0.94637,                0.86917,                0.83899,                0.89465,                0.64582,                 0.9622,                0.55503,                0.94028,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0017,                0.59571,                 0.9431,                0.86761,                 0.8441,                0.89459,                0.65082,                0.94832,                0.54556,                0.93524,             0.00084703,             0.00084703,             0.00084703
                     27,                0.99803,                0.59072,                 0.9411,                0.87939,                0.85095,                0.90685,                0.65722,                0.95921,                0.54505,                0.94065,             0.00083603,             0.00083603,             0.00083603
                     28,                0.99273,                0.58322,                0.93875,                0.87377,                0.84028,                0.90116,                0.65803,                0.95083,                 0.5393,                0.93604,             0.00082503,             0.00082503,             0.00082503
                     29,                0.98582,                0.58121,                0.93936,                0.88366,                0.83162,                0.90299,                0.65651,                0.94599,                0.54092,                 0.9364,             0.00081403,             0.00081403,             0.00081403
                     30,                0.98307,                0.57921,                0.93731,                0.89069,                0.84031,                0.90477,                0.66294,                0.93169,                0.54248,                0.92773,             0.00080303,             0.00080303,             0.00080303
                     31,                0.98154,                0.57266,                0.93676,                0.88872,                0.83456,                0.89981,                  0.656,                0.92528,                0.53914,                0.92886,             0.00079203,             0.00079203,             0.00079203
                     32,                0.97392,                0.57286,                0.93569,                0.89716,                0.84612,                 0.9026,                0.66132,                0.93174,                0.53866,                0.93174,             0.00078103,             0.00078103,             0.00078103
                     33,                0.96945,                0.56893,                0.93072,                0.88244,                0.85245,                0.90918,                0.66841,                0.93285,                0.53082,                0.92795,             0.00077003,             0.00077003,             0.00077003
                     34,                0.96681,                0.56137,                0.93143,                0.89723,                0.84623,                0.91043,                0.66801,                 0.9298,                0.52986,                0.92754,             0.00075904,             0.00075904,             0.00075904
                     35,                0.96453,                0.56512,                0.92967,                0.90375,                0.83954,                 0.9129,                0.67826,                0.92505,                0.53023,                0.92795,             0.00074804,             0.00074804,             0.00074804
                     36,                0.95117,                0.55666,                0.92823,                0.88942,                0.85841,                 0.9143,                0.67256,                0.92392,                0.52623,                0.92797,             0.00073704,             0.00073704,             0.00073704
                     37,                0.95319,                0.55409,                0.92847,                0.88467,                0.86163,                0.91194,                0.67797,                0.91672,                0.52252,                0.92321,             0.00072604,             0.00072604,             0.00072604
                     38,                0.94659,                0.54862,                0.92559,                0.88726,                0.86919,                0.91243,                0.68206,                0.91018,                0.52114,                0.92143,             0.00071504,             0.00071504,             0.00071504
                     39,                0.94423,                0.54943,                 0.9262,                0.89178,                0.86059,                0.91194,                0.67796,                0.91261,                0.52466,                0.92156,             0.00070404,             0.00070404,             0.00070404
                     40,                0.93779,                0.54498,                0.92413,                0.89236,                0.86874,                 0.9174,                0.68367,                 0.9146,                0.52021,                0.92643,             0.00069304,             0.00069304,             0.00069304
                     41,                 0.9327,                0.54275,                0.92141,                0.88927,                0.87085,                0.91555,                0.68639,                0.89997,                0.51551,                0.92031,             0.00068204,             0.00068204,             0.00068204
                     42,                0.93518,                0.54318,                 0.9219,                0.89904,                0.86204,                0.91673,                0.68263,                0.90784,                0.51692,                0.92295,             0.00067104,             0.00067104,             0.00067104
                     43,                0.93042,                0.53886,                0.92094,                0.89226,                0.86013,                  0.918,                0.69057,                0.89455,                0.51021,                0.91957,             0.00066005,             0.00066005,             0.00066005
                     44,                0.91987,                0.53148,                0.91876,                  0.895,                0.87242,                0.92323,                0.69584,                0.88865,                0.49795,                0.91559,             0.00064905,             0.00064905,             0.00064905
                     45,                0.92192,                0.53131,                0.91752,                0.89504,                0.87496,                 0.9252,                0.69704,                0.89395,                0.50211,                0.91802,             0.00063805,             0.00063805,             0.00063805
                     46,                0.92036,                0.53114,                0.91541,                0.90854,                0.86465,                0.92065,                 0.6956,                0.89153,                0.50362,                0.91578,             0.00062705,             0.00062705,             0.00062705
                     47,                0.91575,                0.52528,                0.91698,                0.91101,                0.87007,                0.92383,                0.69787,                0.89817,                  0.503,                0.91964,             0.00061605,             0.00061605,             0.00061605
                     48,                0.91409,                0.52431,                0.91477,                0.90752,                0.88124,                 0.9266,                0.70075,                0.89274,                0.49882,                0.91627,             0.00060505,             0.00060505,             0.00060505
                     49,                0.90486,                0.51966,                0.91327,                0.91003,                0.87785,                0.92589,                  0.701,                0.89097,                0.50261,                0.91435,             0.00059405,             0.00059405,             0.00059405
                     50,                0.90331,                0.51682,                0.91279,                0.90866,                 0.8699,                0.92631,                0.70072,                0.88293,                0.49729,                 0.9118,             0.00058305,             0.00058305,             0.00058305
                     51,                0.89802,                0.51427,                0.91131,                0.90088,                0.87603,                0.92509,                0.70143,                0.89117,                0.50139,                0.91657,             0.00057205,             0.00057205,             0.00057205
                     52,                0.89988,                0.51138,                0.91083,                0.90129,                0.88164,                0.92757,                0.70627,                0.88572,                0.49246,                0.91463,             0.00056105,             0.00056105,             0.00056105
                     53,                0.90009,                0.51441,                 0.9114,                0.90004,                0.88973,                0.92476,                0.70722,                0.87744,                 0.4957,                0.91426,             0.00055006,             0.00055006,             0.00055006
                     54,                0.89131,                0.50965,                0.90866,                0.90595,                0.88292,                0.92661,                0.70902,                 0.8748,                0.49179,                0.91253,             0.00053906,             0.00053906,             0.00053906
                     55,                0.88396,                0.50497,                 0.9065,                0.91216,                0.87878,                0.92813,                0.71055,                 0.8741,                0.48994,                 0.9125,             0.00052806,             0.00052806,             0.00052806
                     56,                0.88404,                0.50427,                0.90832,                0.92661,                0.86947,                0.92798,                0.70994,                0.87716,                0.48687,                0.91215,             0.00051706,             0.00051706,             0.00051706
                     57,                0.88177,                0.50211,                0.90675,                0.90273,                0.86914,                0.92437,                0.70944,                0.87659,                0.49312,                0.91299,             0.00050606,             0.00050606,             0.00050606
                     58,                 0.8772,                0.49773,                0.90411,                0.90956,                0.88637,                0.92805,                0.71231,                0.87213,                0.48512,                0.90939,             0.00049506,             0.00049506,             0.00049506
                     59,                0.87782,                 0.4978,                0.90279,                0.90808,                0.88224,                0.92519,                0.70721,                0.87555,                0.48855,                0.91266,             0.00048406,             0.00048406,             0.00048406
                     60,                  0.869,                0.49285,                0.90341,                0.91146,                0.87383,                0.92859,                0.71269,                0.87084,                0.48763,                0.90934,             0.00047306,             0.00047306,             0.00047306
                     61,                0.86899,                 0.4932,                0.90294,                0.89378,                0.89883,                 0.9311,                0.71606,                0.86572,                0.48473,                0.91035,             0.00046206,             0.00046206,             0.00046206
                     62,                0.86608,                0.49149,                0.90176,                0.91731,                0.88154,                0.93153,                0.71705,                0.86569,                0.48078,                0.90973,             0.00045107,             0.00045107,             0.00045107
                     63,                 0.8664,                0.49211,                0.90284,                0.90688,                0.87898,                0.92887,                0.71435,                0.86269,                0.48581,                0.90917,             0.00044007,             0.00044007,             0.00044007
                     64,                0.86137,                 0.4875,                0.89995,                0.90657,                0.88819,                0.92952,                0.71665,                0.86795,                 0.4827,                0.90916,             0.00042907,             0.00042907,             0.00042907
                     65,                 0.8566,                0.48542,                0.89917,                0.90323,                0.89255,                0.93145,                0.71722,                0.86367,                0.48126,                0.91017,             0.00041807,             0.00041807,             0.00041807
                     66,                0.85797,                0.48465,                0.89751,                0.91043,                0.88637,                0.93184,                0.71802,                0.86038,                0.48093,                0.90687,             0.00040707,             0.00040707,             0.00040707
                     67,                0.85406,                0.48356,                0.89756,                0.91211,                0.88494,                0.93214,                0.71926,                0.85691,                0.47971,                0.90714,             0.00039607,             0.00039607,             0.00039607
                     68,                0.85707,                0.48183,                 0.8983,                 0.9075,                0.88549,                0.93137,                0.72008,                0.85945,                0.47867,                0.90779,             0.00038507,             0.00038507,             0.00038507
                     69,                0.84843,                0.47878,                0.89654,                0.90494,                  0.884,                0.93324,                0.72432,                0.85386,                0.47467,                0.90451,             0.00037407,             0.00037407,             0.00037407
                     70,                0.85025,                0.47862,                0.89486,                0.91415,                0.87709,                0.93267,                0.72391,                0.85453,                0.47777,                0.90644,             0.00036307,             0.00036307,             0.00036307
                     71,                0.84074,                 0.4748,                0.89469,                0.91392,                0.88379,                0.93398,                0.72425,                0.84616,                0.47475,                0.90428,             0.00035208,             0.00035208,             0.00035208
                     72,                0.83491,                0.47082,                0.89329,                0.91839,                0.88268,                 0.9339,                0.72267,                0.85043,                0.47729,                0.90562,             0.00034108,             0.00034108,             0.00034108
                     73,                0.84102,                 0.4715,                 0.8954,                0.90703,                0.89038,                0.93473,                0.72619,                0.84875,                0.47698,                 0.9054,             0.00033008,             0.00033008,             0.00033008
                     74,                 0.8364,                0.46998,                0.89308,                0.90969,                0.89284,                0.93488,                0.72718,                0.84683,                0.47289,                 0.9034,             0.00031908,             0.00031908,             0.00031908
                     75,                0.82906,                0.46692,                0.89172,                0.91317,                0.88848,                0.93529,                 0.7269,                0.84351,                0.47144,                0.90283,             0.00030808,             0.00030808,             0.00030808
                     76,                0.82997,                0.46586,                0.89126,                0.91086,                0.89222,                0.93589,                0.72906,                0.84329,                 0.4732,                0.90146,             0.00029708,             0.00029708,             0.00029708
                     77,                0.82135,                0.46227,                0.89034,                0.90812,                0.89553,                0.93701,                0.72866,                0.84152,                0.47321,                0.90199,             0.00028608,             0.00028608,             0.00028608
                     78,                0.82896,                 0.4651,                0.89096,                0.91942,                0.88552,                0.93677,                0.72949,                0.84153,                0.46852,                0.90312,             0.00027508,             0.00027508,             0.00027508
                     79,                0.82229,                0.46159,                0.88967,                0.91451,                0.88552,                0.93504,                 0.7272,                 0.8371,                0.46972,                0.90114,             0.00026408,             0.00026408,             0.00026408
                     80,                0.81993,                0.46012,                0.88836,                0.91238,                0.89019,                0.93747,                0.73045,                0.83587,                0.47085,                0.90101,             0.00025309,             0.00025309,             0.00025309
                     81,                0.81711,                0.45806,                 0.8894,                0.91882,                0.88799,                0.93618,                0.73188,                0.83385,                0.46957,                0.90066,             0.00024209,             0.00024209,             0.00024209
                     82,                0.81911,                0.45793,                0.88863,                0.91107,                 0.8892,                0.93559,                0.73287,                0.83429,                 0.4689,                0.89956,             0.00023109,             0.00023109,             0.00023109
                     83,                0.81292,                 0.4561,                0.88719,                0.92179,                0.88229,                0.93722,                0.73237,                0.83204,                0.46726,                0.90008,             0.00022009,             0.00022009,             0.00022009
                     84,                0.80964,                0.45793,                0.88606,                0.91514,                0.88846,                0.93706,                0.73137,                0.83269,                0.46725,                0.89969,             0.00020909,             0.00020909,             0.00020909
                     85,                0.80177,                0.45055,                0.88444,                0.90923,                0.89716,                0.93711,                0.73299,                0.83298,                0.46555,                0.90032,             0.00019809,             0.00019809,             0.00019809
                     86,                0.79918,                0.44755,                0.88434,                0.91876,                0.88608,                0.93626,                0.73245,                0.83187,                0.46588,                0.89969,             0.00018709,             0.00018709,             0.00018709
                     87,                0.80365,                0.44919,                0.88498,                0.91818,                 0.8887,                0.93737,                0.73481,                 0.8314,                0.46339,                0.90019,             0.00017609,             0.00017609,             0.00017609
                     88,                0.80259,                0.44897,                0.88396,                0.92658,                0.88385,                0.93671,                0.73486,                0.83113,                0.46294,                0.90029,             0.00016509,             0.00016509,             0.00016509
                     89,                0.79941,                0.44531,                0.88352,                0.91413,                0.89383,                0.93655,                0.73702,                0.82794,                0.46157,                0.89989,              0.0001541,              0.0001541,              0.0001541
                     90,                 0.7938,                0.44425,                0.88212,                0.91271,                0.89138,                0.93669,                0.73498,                0.82645,                0.46035,                0.89918,              0.0001431,              0.0001431,              0.0001431
                     91,                0.75902,                0.41147,                0.87612,                 0.9106,                0.89419,                0.93659,                0.73476,                0.82988,                0.46239,                0.89964,              0.0001321,              0.0001321,              0.0001321
                     92,                0.74604,                0.40248,                0.87117,                0.91125,                0.89505,                0.93634,                0.73442,                0.82795,                0.46187,                0.89934,              0.0001211,              0.0001211,              0.0001211
                     93,                0.74253,                0.40184,                0.86779,                 0.9057,                0.89993,                0.93596,                 0.7346,                0.82821,                0.46316,                0.89925,              0.0001101,              0.0001101,              0.0001101
                     94,                0.73429,                0.39687,                0.86776,                0.91069,                0.89406,                0.93598,                0.73645,                0.82669,                0.46288,                0.89807,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.73225,                0.39538,                0.86811,                  0.913,                 0.8939,                0.93628,                0.73822,                0.82491,                0.46384,                 0.8984,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.72879,                0.39405,                0.86616,                0.91059,                0.89567,                 0.9355,                 0.7371,                0.82493,                0.46343,                0.89807,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.72553,                0.39288,                0.86568,                0.90899,                 0.8968,                0.93599,                0.73887,                0.82429,                0.46274,                0.89876,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.72304,                0.38996,                0.86669,                0.90831,                0.89556,                0.93593,                0.73864,                0.82264,                0.46375,                0.89838,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.71822,                0.38802,                0.86388,                0.91344,                0.89062,                0.93628,                0.73867,                0.82182,                0.46243,                0.89785,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.71604,                 0.3868,                0.86317,                0.91773,                0.88984,                0.93668,                0.73929,                0.82142,                0.46238,                0.89763,             3.3108e-05,             3.3108e-05,             3.3108e-05
